ID,Problem Description,Domain
378,Problem reported in Taxi Services area at Hill Valley causing inconvenience.,Taxi Services
379,Problem reported in Street Closures area at Main Street causing inconvenience.,Street Closures
380,Problem reported in Public Safety area at MG Road causing inconvenience.,Public Safety
381,Problem reported in Street Furniture Maintenance area at Park Avenue causing inconvenience.,Street Furniture Maintenance
382,Streetlight on West Park avenue is broken.,Electricity
383,Problem reported in Street Performers area at Old Town causing inconvenience.,Street Performers
384,Garbage bins overflowed at Park Avenue for days.,Garbage
385,No water supply since morning in Old Town.,Water Supply
386,Problem reported in Public WiFi area at North End causing inconvenience.,Public WiFi
387,Problem reported in Animal Control area at Hill Valley causing inconvenience.,Animal Control
388,Problem reported in Cemeteries area at Main Street causing inconvenience.,Cemeteries
389,Problem reported in Sewage area at Downtown causing inconvenience.,Sewage
390,Problem reported in Air Pollution area at Hill Valley causing inconvenience.,Air Pollution
391,Problem reported in Traffic Signals area at West Park causing inconvenience.,Traffic Signals
392,Problem reported in Animal Control area at Main Street causing inconvenience.,Animal Control
393,Problem reported in Parking area at MG Road causing inconvenience.,Parking
394,Problem reported in Public Parking Enforcement area at Old Town causing inconvenience.,Public Parking Enforcement
395,Problem reported in Public Safety area at Hill Valley causing inconvenience.,Public Safety
396,Problem reported in Bike Sharing Services area at North End causing inconvenience.,Bike Sharing Services
397,Problem reported in Energy Conservation area at Hill Valley causing inconvenience.,Energy Conservation
398,Problem reported in Street Repairs area at Riverbank causing inconvenience.,Street Repairs
399,Problem reported in Electric Billing area at Riverbank causing inconvenience.,Electric Billing
400,Problem reported in Water Quality area at West Park causing inconvenience.,Water Quality
401,Problem reported in Public Toilets area at North End causing inconvenience.,Public Toilets
402,Problem reported in Graffiti Removal area at Hill Valley causing inconvenience.,Graffiti Removal
403,Problem reported in Recycling Services area at Riverbank causing inconvenience.,Recycling Services
404,Problem reported in Flooding area at Hill Valley causing inconvenience.,Flooding
405,Problem reported in Police area at Riverbank causing inconvenience.,Police
406,Problem reported in Sidewalks area at Hill Valley causing inconvenience.,Sidewalks
407,Problem reported in Snow Removal area at Downtown causing inconvenience.,Snow Removal
408,Problem reported in Public Libraries area at Main Street causing inconvenience.,Public Libraries
409,Problem reported in Street Lighting area at MG Road causing inconvenience.,Street Lighting
410,Problem reported in Building Codes area at Old Town causing inconvenience.,Building Codes
411,Problem reported in Public Markets area at Sector 9 causing inconvenience.,Public Markets
412,Problem reported in Recycling Services area at Old Town causing inconvenience.,Recycling Services
413,Problem reported in Street Furniture area at West Park causing inconvenience.,Street Furniture
414,Problem reported in Police area at Main Street causing inconvenience.,Police
415,Problem reported in Traffic Enforcement area at Riverbank causing inconvenience.,Traffic Enforcement
416,Problem reported in Disaster Management area at North End causing inconvenience.,Disaster Management
417,Problem reported in Taxi Services area at Park Avenue causing inconvenience.,Taxi Services
418,Problem reported in Stormwater Management area at Main Street causing inconvenience.,Stormwater Management
419,Problem reported in Snow Removal area at Downtown causing inconvenience.,Snow Removal
420,Problem reported in Street Drainage area at Hill Valley causing inconvenience.,Street Drainage
421,Problem reported in Sidewalk Repair area at Old Town causing inconvenience.,Sidewalk Repair
422,Problem reported in Swimming Pools Safety area at Riverbank causing inconvenience.,Swimming Pools Safety
423,Problem reported in Hospitals area at Main Street causing inconvenience.,Hospitals
424,Problem reported in Bike Lanes area at Park Avenue causing inconvenience.,Bike Lanes
425,Problem reported in Police area at Park Avenue causing inconvenience.,Police
426,Problem reported in Public Events Noise area at Hill Valley causing inconvenience.,Public Events Noise
427,Problem reported in Public Transport Maintenance area at Sector 9 causing inconvenience.,Public Transport Maintenance
428,Problem reported in Monuments area at Main Street causing inconvenience.,Monuments
429,Problem reported in Parks Lighting area at North End causing inconvenience.,Parks Lighting
430,Problem reported in Public Parks Safety area at North End causing inconvenience.,Public Parks Safety
431,Problem reported in Road Accidents area at MG Road causing inconvenience.,Road Accidents
432,Problem reported in Water Billing area at Sector 9 causing inconvenience.,Water Billing
433,Problem reported in Flooding area at Hill Valley causing inconvenience.,Flooding
434,Problem reported in Animal Control area at MG Road causing inconvenience.,Animal Control
435,Problem reported in Parks Lighting area at Main Street causing inconvenience.,Parks Lighting
436,Problem reported in Public Libraries area at Hill Valley causing inconvenience.,Public Libraries
437,Problem reported in Sewage area at Sector 9 causing inconvenience.,Sewage
438,Problem reported in Street Furniture area at West Park causing inconvenience.,Street Furniture
439,Problem reported in Permit Issuance area at Riverbank causing inconvenience.,Permit Issuance
440,Problem reported in Public WiFi area at North End causing inconvenience.,Public WiFi
441,Problem reported in Hospitals area at Downtown causing inconvenience.,Hospitals
442,Problem reported in Traffic Signals area at Old Town causing inconvenience.,Traffic Signals
443,Problem reported in Street Lighting area at Main Street causing inconvenience.,Street Lighting
444,Problem reported in Public Playground Safety area at West Park causing inconvenience.,Public Playground Safety
445,Problem reported in Public Safety area at MG Road causing inconvenience.,Public Safety
446,Problem reported in Road Accidents area at Sector 9 causing inconvenience.,Road Accidents
447,Problem reported in Bike Sharing Services area at Park Avenue causing inconvenience.,Bike Sharing Services
448,Problem reported in Urban Planning area at Park Avenue causing inconvenience.,Urban Planning
449,Problem reported in Public Parks Safety area at Main Street causing inconvenience.,Public Parks Safety
450,Problem reported in Emergency Services area at Hill Valley causing inconvenience.,Emergency Services
451,Problem reported in Street Cleaning area at Hill Valley causing inconvenience.,Street Cleaning
452,Problem reported in Building Permits area at Hill Valley causing inconvenience.,Building Permits
453,Problem reported in Drainage area at Old Town causing inconvenience.,Drainage
454,Problem reported in Street Closures area at Downtown causing inconvenience.,Street Closures
455,Problem reported in Public Parking Enforcement area at Main Street causing inconvenience.,Public Parking Enforcement
456,Problem reported in Cemeteries area at Main Street causing inconvenience.,Cemeteries
457,Problem reported in Building Maintenance area at North End causing inconvenience.,Building Maintenance
458,Problem reported in Public Events Noise area at Main Street causing inconvenience.,Public Events Noise
459,Problem reported in Water Quality area at Main Street causing inconvenience.,Water Quality
460,Problem reported in Parking area at North End causing inconvenience.,Parking
461,Problem reported in Potholes area at MG Road causing inconvenience.,Potholes
462,Problem reported in Street Performers area at North End causing inconvenience.,Street Performers
463,Problem reported in Public Pools Maintenance area at Downtown causing inconvenience.,Public Pools Maintenance
464,Problem reported in Air Pollution area at West Park causing inconvenience.,Air Pollution
465,Problem reported in Homeless Shelters area at Hill Valley causing inconvenience.,Homeless Shelters
466,Problem reported in Traffic Signals area at Main Street causing inconvenience.,Traffic Signals
467,Problem reported in Street Lighting Maintenance area at Main Street causing inconvenience.,Street Lighting Maintenance
468,Problem reported in Street Performers area at North End causing inconvenience.,Street Performers
469,Problem reported in Cemeteries area at Sector 9 causing inconvenience.,Cemeteries
470,Problem reported in Graffiti Removal area at North End causing inconvenience.,Graffiti Removal
471,Problem reported in Street Cleaning Schedule area at Hill Valley causing inconvenience.,Street Cleaning Schedule
472,Problem reported in Sidewalks area at Park Avenue causing inconvenience.,Sidewalks
473,Problem reported in Street Sign Maintenance area at Sector 9 causing inconvenience.,Street Sign Maintenance
474,Problem reported in Street Repairs area at MG Road causing inconvenience.,Street Repairs
475,Problem reported in City Planning area at West Park causing inconvenience.,City Planning
476,Problem reported in Bus Stops area at Park Avenue causing inconvenience.,Bus Stops
477,Problem reported in Noise Pollution area at Downtown causing inconvenience.,Noise Pollution
478,Problem reported in Public Parks Safety area at Sector 9 causing inconvenience.,Public Parks Safety
479,Problem reported in Public Safety area at North End causing inconvenience.,Public Safety
480,Problem reported in Public Pools area at Main Street causing inconvenience.,Public Pools
481,Problem reported in Disaster Management area at West Park causing inconvenience.,Disaster Management
482,Problem reported in Animal Shelters area at Main Street causing inconvenience.,Animal Shelters
483,Problem reported in Street Vendors area at Old Town causing inconvenience.,Street Vendors
484,Problem reported in Rodent Control area at Riverbank causing inconvenience.,Rodent Control
485,Problem reported in Water Leak Detection area at Main Street causing inconvenience.,Water Leak Detection
486,Problem reported in Animal Shelters area at Park Avenue causing inconvenience.,Animal Shelters
487,Problem reported in Street Vendors area at Old Town causing inconvenience.,Street Vendors
488,Problem reported in Police area at MG Road causing inconvenience.,Police
489,Problem reported in Street Closures area at Sector 9 causing inconvenience.,Street Closures
490,Problem reported in Street Drainage area at North End causing inconvenience.,Street Drainage
491,Problem reported in Waste Management area at Old Town causing inconvenience.,Waste Management
492,Problem reported in Street Repairs area at Sector 9 causing inconvenience.,Street Repairs
493,Problem reported in Public Transport area at West Park causing inconvenience.,Public Transport
494,Problem reported in Public Playground Safety area at Main Street causing inconvenience.,Public Playground Safety
495,Problem reported in Public Parking Enforcement area at North End causing inconvenience.,Public Parking Enforcement
496,Problem reported in Taxi Services area at Sector 9 causing inconvenience.,Taxi Services
497,Problem reported in Building Maintenance area at Main Street causing inconvenience.,Building Maintenance
498,Problem reported in Public Pools Maintenance area at Old Town causing inconvenience.,Public Pools Maintenance
499,Problem reported in Street Cleaning Schedule area at West Park causing inconvenience.,Street Cleaning Schedule
500,Problem reported in Traffic Enforcement area at MG Road causing inconvenience.,Traffic Enforcement
501,Problem reported in Public Schools Maintenance area at North End causing inconvenience.,Public Schools Maintenance
502,Problem reported in Street Cleaning Schedule area at Main Street causing inconvenience.,Street Cleaning Schedule
503,Problem reported in Animal Control area at Sector 9 causing inconvenience.,Animal Control
504,Problem reported in Water Metering area at Downtown causing inconvenience.,Water Metering
505,Problem reported in Parks and Recreation area at Downtown causing inconvenience.,Parks and Recreation
506,Problem reported in Community Centers area at Sector 9 causing inconvenience.,Community Centers
507,Problem reported in Parks and Recreation area at North End causing inconvenience.,Parks and Recreation
508,Problem reported in Street Cleaning Schedule area at Old Town causing inconvenience.,Street Cleaning Schedule
509,Problem reported in Road Signs area at Sector 9 causing inconvenience.,Road Signs
510,Problem reported in Bus Schedules area at Hill Valley causing inconvenience.,Bus Schedules
511,Problem reported in Tree Maintenance area at Old Town causing inconvenience.,Tree Maintenance
512,Problem reported in Public Art area at Downtown causing inconvenience.,Public Art
513,Problem reported in Graffiti Removal area at Sector 9 causing inconvenience.,Graffiti Removal
514,Problem reported in Public Schools Maintenance area at Old Town causing inconvenience.,Public Schools Maintenance
515,Problem reported in Homeless Shelters area at Sector 9 causing inconvenience.,Homeless Shelters
516,Problem reported in Road Accidents area at Riverbank causing inconvenience.,Road Accidents
517,Problem reported in Snow Removal area at Old Town causing inconvenience.,Snow Removal
518,Problem reported in Road Accidents area at Main Street causing inconvenience.,Road Accidents
519,Problem reported in Street Closures area at Sector 9 causing inconvenience.,Street Closures
520,Problem reported in Building Codes area at Downtown causing inconvenience.,Building Codes
521,Problem reported in City Planning area at West Park causing inconvenience.,City Planning
522,Problem reported in Building Permits area at Sector 9 causing inconvenience.,Building Permits
523,Problem reported in Bridge Maintenance area at Hill Valley causing inconvenience.,Bridge Maintenance
524,Problem reported in Community Centers area at West Park causing inconvenience.,Community Centers
525,Problem reported in Street Closures area at Park Avenue causing inconvenience.,Street Closures
526,Problem reported in Parks and Recreation area at Park Avenue causing inconvenience.,Parks and Recreation
527,Problem reported in Air Pollution area at Sector 9 causing inconvenience.,Air Pollution
528,Problem reported in Fire Safety area at West Park causing inconvenience.,Fire Safety
529,Problem reported in Bus Schedules area at North End causing inconvenience.,Bus Schedules
530,Problem reported in Rodent Control area at Downtown causing inconvenience.,Rodent Control
531,Problem reported in Emergency Services area at North End causing inconvenience.,Emergency Services
532,Problem reported in Street Sign Maintenance area at Riverbank causing inconvenience.,Street Sign Maintenance
533,Problem reported in Street Cleaning area at Sector 9 causing inconvenience.,Street Cleaning
534,Problem reported in Permit Issuance area at West Park causing inconvenience.,Permit Issuance
535,Problem reported in Hospitals area at Park Avenue causing inconvenience.,Hospitals
536,Problem reported in Traffic area at MG Road causing inconvenience.,Traffic
537,Problem reported in Monuments area at Downtown causing inconvenience.,Monuments
538,Problem reported in Taxi Services area at Park Avenue causing inconvenience.,Taxi Services
539,Problem reported in Zoning area at Old Town causing inconvenience.,Zoning
540,Problem reported in Taxi Services area at Hill Valley causing inconvenience.,Taxi Services
541,Problem reported in Fire Safety area at North End causing inconvenience.,Fire Safety
542,Problem reported in Graffiti Removal area at Downtown causing inconvenience.,Graffiti Removal
543,Problem reported in Stormwater Management area at West Park causing inconvenience.,Stormwater Management
544,No water supply since morning in North End.,Water Supply
545,Problem reported in Sidewalks area at Downtown causing inconvenience.,Sidewalks
546,Problem reported in Street Furniture area at Park Avenue causing inconvenience.,Street Furniture
547,Problem reported in Public Pools Maintenance area at Sector 9 causing inconvenience.,Public Pools Maintenance
548,Problem reported in Public Schools Maintenance area at Old Town causing inconvenience.,Public Schools Maintenance
549,Problem reported in Noise Pollution area at Downtown causing inconvenience.,Noise Pollution
550,Problem reported in Public Health Clinics area at Old Town causing inconvenience.,Public Health Clinics
551,Problem reported in Bridge Maintenance area at Riverbank causing inconvenience.,Bridge Maintenance
552,Problem reported in Building Codes area at Main Street causing inconvenience.,Building Codes
553,Problem reported in Street Lighting area at West Park causing inconvenience.,Street Lighting
554,Problem reported in Street Performers area at West Park causing inconvenience.,Street Performers
555,Problem reported in Bike Sharing Services area at MG Road causing inconvenience.,Bike Sharing Services
556,Problem reported in Taxi Services area at Riverbank causing inconvenience.,Taxi Services
557,Problem reported in Permit Issuance area at MG Road causing inconvenience.,Permit Issuance
558,Problem reported in Road Accidents area at Hill Valley causing inconvenience.,Road Accidents
559,Problem reported in Bike Sharing Services area at Park Avenue causing inconvenience.,Bike Sharing Services
560,Problem reported in Graffiti area at Riverbank causing inconvenience.,Graffiti
561,Problem reported in Schools area at Main Street causing inconvenience.,Schools
562,Problem reported in Animal Control area at Sector 9 causing inconvenience.,Animal Control
563,Problem reported in Traffic Signals area at Sector 9 causing inconvenience.,Traffic Signals
564,Problem reported in Animal Control area at Main Street causing inconvenience.,Animal Control
565,Problem reported in Animal Shelters area at West Park causing inconvenience.,Animal Shelters
566,Problem reported in Parks Lighting area at Main Street causing inconvenience.,Parks Lighting
567,Problem reported in Flooding area at Main Street causing inconvenience.,Flooding
568,There is a leak in the water pipe near Old Town street.,Water Supply
569,Problem reported in Street Furniture Maintenance area at Park Avenue causing inconvenience.,Street Furniture Maintenance
570,Problem reported in Traffic area at Main Street causing inconvenience.,Traffic
571,Problem reported in Parks Lighting area at Park Avenue causing inconvenience.,Parks Lighting
572,Problem reported in Street Lighting Maintenance area at Park Avenue causing inconvenience.,Street Lighting Maintenance
573,Problem reported in Public Pools Maintenance area at Riverbank causing inconvenience.,Public Pools Maintenance
574,Problem reported in Taxi Services area at Sector 9 causing inconvenience.,Taxi Services
575,Problem reported in Schools area at Hill Valley causing inconvenience.,Schools
576,Problem reported in Water Billing area at Downtown causing inconvenience.,Water Billing
577,Problem reported in Permit Issuance area at MG Road causing inconvenience.,Permit Issuance
578,Problem reported in Noise Pollution area at Downtown causing inconvenience.,Noise Pollution
579,Problem reported in Street Lighting area at North End causing inconvenience.,Street Lighting
580,Problem reported in Water Billing area at Sector 9 causing inconvenience.,Water Billing
581,Problem reported in Public Landscaping area at Downtown causing inconvenience.,Public Landscaping
582,Water pressure is very low in Main Street neighborhood.,Water Supply
583,No water supply since morning in Downtown.,Water Supply
584,Problem reported in Water Billing area at Riverbank causing inconvenience.,Water Billing
585,Problem reported in Cemeteries area at MG Road causing inconvenience.,Cemeteries
586,Problem reported in Street Furniture Maintenance area at West Park causing inconvenience.,Street Furniture Maintenance
587,Problem reported in Building Maintenance area at MG Road causing inconvenience.,Building Maintenance
588,Problem reported in Street Sign Maintenance area at North End causing inconvenience.,Street Sign Maintenance
589,Problem reported in Street Lighting area at Main Street causing inconvenience.,Street Lighting
590,Problem reported in Fire Safety area at Sector 9 causing inconvenience.,Fire Safety
591,Problem reported in Swimming Pools Safety area at North End causing inconvenience.,Swimming Pools Safety
592,Problem reported in Water Billing area at Park Avenue causing inconvenience.,Water Billing
593,Problem reported in Bike Lanes area at Park Avenue causing inconvenience.,Bike Lanes
594,Problem reported in Street Furniture Maintenance area at Downtown causing inconvenience.,Street Furniture Maintenance
595,Problem reported in Road Accidents area at North End causing inconvenience.,Road Accidents
596,Problem reported in Street Vendors area at Riverbank causing inconvenience.,Street Vendors
597,Problem reported in Public Health Clinics area at Main Street causing inconvenience.,Public Health Clinics
598,Problem reported in Noise Pollution area at Sector 9 causing inconvenience.,Noise Pollution
599,Problem reported in Public Events Noise area at Downtown causing inconvenience.,Public Events Noise
600,Problem reported in Rodent Control area at Hill Valley causing inconvenience.,Rodent Control
601,Problem reported in Police area at Hill Valley causing inconvenience.,Police
602,Problem reported in Parking area at Sector 9 causing inconvenience.,Parking
603,Problem reported in Street Cleaning Schedule area at MG Road causing inconvenience.,Street Cleaning Schedule
604,Problem reported in Street Performers area at Park Avenue causing inconvenience.,Street Performers
605,Problem reported in Public Pools area at Downtown causing inconvenience.,Public Pools
606,Problem reported in Street Sign Maintenance area at Sector 9 causing inconvenience.,Street Sign Maintenance
607,Problem reported in Monuments area at West Park causing inconvenience.,Monuments
608,Problem reported in Emergency Services area at West Park causing inconvenience.,Emergency Services
609,Problem reported in Bridge Maintenance area at Main Street causing inconvenience.,Bridge Maintenance
610,Problem reported in Air Pollution area at MG Road causing inconvenience.,Air Pollution
611,Problem reported in Potholes area at North End causing inconvenience.,Potholes
612,Problem reported in Street Drainage area at North End causing inconvenience.,Street Drainage
613,Problem reported in Swimming Pools Safety area at MG Road causing inconvenience.,Swimming Pools Safety
614,Problem reported in Air Pollution area at North End causing inconvenience.,Air Pollution
615,There is a leak in the water pipe near North End street.,Water Supply
616,Problem reported in Public Transport Maintenance area at MG Road causing inconvenience.,Public Transport Maintenance
617,Problem reported in Potholes area at Park Avenue causing inconvenience.,Potholes
618,Problem reported in Public Health Clinics area at North End causing inconvenience.,Public Health Clinics
619,There is a leak in the water pipe near Hill Valley street.,Water Supply
620,Problem reported in Public Transport Maintenance area at MG Road causing inconvenience.,Public Transport Maintenance
621,Problem reported in Zoning area at Riverbank causing inconvenience.,Zoning
622,Problem reported in Bike Sharing Services area at Downtown causing inconvenience.,Bike Sharing Services
623,Problem reported in Police area at Sector 9 causing inconvenience.,Police
624,Streetlight on West Park avenue is broken.,Electricity
625,Problem reported in Street Cleaning Schedule area at Old Town causing inconvenience.,Street Cleaning Schedule
626,Problem reported in Street Lighting area at Downtown causing inconvenience.,Street Lighting
627,Problem reported in Bridge Maintenance area at Main Street causing inconvenience.,Bridge Maintenance
628,There is a leak in the water pipe near Park Avenue street.,Water Supply
629,Problem reported in Building Codes area at MG Road causing inconvenience.,Building Codes
630,Problem reported in Snow Removal area at Riverbank causing inconvenience.,Snow Removal
631,Problem reported in Pavement Markings area at Old Town causing inconvenience.,Pavement Markings
632,Problem reported in Street Lighting area at Park Avenue causing inconvenience.,Street Lighting
633,Frequent power fluctuations damaging appliances in North End.,Electricity
634,Problem reported in Graffiti Removal area at Main Street causing inconvenience.,Graffiti Removal
635,Problem reported in Zoning area at West Park causing inconvenience.,Zoning
636,Problem reported in Bike Sharing Services area at Old Town causing inconvenience.,Bike Sharing Services
637,Problem reported in Graffiti area at MG Road causing inconvenience.,Graffiti
638,Problem reported in Street Cleaning area at Sector 9 causing inconvenience.,Street Cleaning
639,Problem reported in Public Events Noise area at Sector 9 causing inconvenience.,Public Events Noise
640,Problem reported in Sewage area at Old Town causing inconvenience.,Sewage
641,Problem reported in Police area at Riverbank causing inconvenience.,Police
642,Problem reported in Energy Conservation area at Riverbank causing inconvenience.,Energy Conservation
643,Problem reported in Animal Shelters area at Hill Valley causing inconvenience.,Animal Shelters
644,Problem reported in Swimming Pools Safety area at Park Avenue causing inconvenience.,Swimming Pools Safety
645,Problem reported in Street Repairs area at North End causing inconvenience.,Street Repairs
646,Problem reported in Graffiti area at Riverbank causing inconvenience.,Graffiti
647,Problem reported in Recycling Services area at Hill Valley causing inconvenience.,Recycling Services
648,Problem reported in Bike Sharing Services area at MG Road causing inconvenience.,Bike Sharing Services
649,Problem reported in Cemeteries area at Old Town causing inconvenience.,Cemeteries
650,Problem reported in Public Schools Maintenance area at West Park causing inconvenience.,Public Schools Maintenance
651,Problem reported in Building Maintenance area at Hill Valley causing inconvenience.,Building Maintenance
652,Problem reported in Pavement Markings area at MG Road causing inconvenience.,Pavement Markings
653,Problem reported in Urban Planning area at Park Avenue causing inconvenience.,Urban Planning
654,Problem reported in Taxi Services area at Main Street causing inconvenience.,Taxi Services
655,Problem reported in Bike Lanes area at Riverbank causing inconvenience.,Bike Lanes
656,Problem reported in Traffic Signals area at Sector 9 causing inconvenience.,Traffic Signals
657,Problem reported in Public Pools area at Riverbank causing inconvenience.,Public Pools
658,Problem reported in Parking area at Riverbank causing inconvenience.,Parking
659,Problem reported in Sewer Maintenance area at Downtown causing inconvenience.,Sewer Maintenance
660,Problem reported in Snow Removal area at North End causing inconvenience.,Snow Removal
661,Problem reported in Permit Issuance area at West Park causing inconvenience.,Permit Issuance
662,Problem reported in Traffic Enforcement area at Downtown causing inconvenience.,Traffic Enforcement
663,Problem reported in Sidewalk Repair area at North End causing inconvenience.,Sidewalk Repair
664,Problem reported in Public Schools Maintenance area at Park Avenue causing inconvenience.,Public Schools Maintenance
665,Problem reported in Public Markets area at Riverbank causing inconvenience.,Public Markets
666,Problem reported in Street Lighting Maintenance area at West Park causing inconvenience.,Street Lighting Maintenance
667,Problem reported in Bike Lanes area at MG Road causing inconvenience.,Bike Lanes
668,Problem reported in Swimming Pools Safety area at Hill Valley causing inconvenience.,Swimming Pools Safety
669,Problem reported in Water Quality area at Sector 9 causing inconvenience.,Water Quality
670,Problem reported in Illegal Dumping area at West Park causing inconvenience.,Illegal Dumping
671,Problem reported in Street Repairs area at Main Street causing inconvenience.,Street Repairs
672,Cracks and damage visible on North End highway.,Roads
673,Problem reported in Water Quality area at Park Avenue causing inconvenience.,Water Quality
674,Problem reported in Public Art area at West Park causing inconvenience.,Public Art
675,Problem reported in Public Markets area at MG Road causing inconvenience.,Public Markets
676,Problem reported in Public Libraries area at Old Town causing inconvenience.,Public Libraries
677,Problem reported in Public Events Noise area at Park Avenue causing inconvenience.,Public Events Noise
678,Problem reported in Building Permits area at Riverbank causing inconvenience.,Building Permits
679,Problem reported in Public Libraries area at Park Avenue causing inconvenience.,Public Libraries
680,Problem reported in Urban Planning area at Main Street causing inconvenience.,Urban Planning
681,Problem reported in Street Closures area at Downtown causing inconvenience.,Street Closures
682,Problem reported in Disaster Management area at Main Street causing inconvenience.,Disaster Management
683,Problem reported in Public Transport Maintenance area at Main Street causing inconvenience.,Public Transport Maintenance
684,Problem reported in Pavement Markings area at Hill Valley causing inconvenience.,Pavement Markings
685,Problem reported in Fire Safety area at Riverbank causing inconvenience.,Fire Safety
686,Problem reported in Construction Noise area at MG Road causing inconvenience.,Construction Noise
687,Problem reported in Schools area at Riverbank causing inconvenience.,Schools
688,Problem reported in Recycling Services area at Sector 9 causing inconvenience.,Recycling Services
689,Problem reported in Road Accidents area at Main Street causing inconvenience.,Road Accidents
690,Problem reported in Street Furniture area at Riverbank causing inconvenience.,Street Furniture
691,Problem reported in Electric Billing area at North End causing inconvenience.,Electric Billing
692,Problem reported in Swimming Pools Safety area at Riverbank causing inconvenience.,Swimming Pools Safety
693,Problem reported in Snow Removal area at Sector 9 causing inconvenience.,Snow Removal
694,Problem reported in Public Art area at Riverbank causing inconvenience.,Public Art
695,Problem reported in Parks and Recreation area at West Park causing inconvenience.,Parks and Recreation
696,Problem reported in Public Schools Maintenance area at Park Avenue causing inconvenience.,Public Schools Maintenance
697,Problem reported in Street Furniture area at Park Avenue causing inconvenience.,Street Furniture
698,Problem reported in Potholes area at Hill Valley causing inconvenience.,Potholes
699,Problem reported in Water Quality area at West Park causing inconvenience.,Water Quality
700,Problem reported in Flooding area at Main Street causing inconvenience.,Flooding
701,Problem reported in Water Quality area at MG Road causing inconvenience.,Water Quality
702,Problem reported in Rodent Control area at West Park causing inconvenience.,Rodent Control
703,Problem reported in Street Closures area at Park Avenue causing inconvenience.,Street Closures
704,Problem reported in Building Maintenance area at Main Street causing inconvenience.,Building Maintenance
705,Problem reported in Police area at MG Road causing inconvenience.,Police
706,Problem reported in Water Leak Detection area at Sector 9 causing inconvenience.,Water Leak Detection
707,Problem reported in Bridge Maintenance area at Old Town causing inconvenience.,Bridge Maintenance
708,Problem reported in Street Repairs area at Riverbank causing inconvenience.,Street Repairs
709,Problem reported in Street Performers area at Hill Valley causing inconvenience.,Street Performers
710,Problem reported in Public Toilets area at Sector 9 causing inconvenience.,Public Toilets
711,Problem reported in Public Art area at MG Road causing inconvenience.,Public Art
712,Problem reported in Street Cleaning Schedule area at MG Road causing inconvenience.,Street Cleaning Schedule
713,Problem reported in Street Furniture area at Riverbank causing inconvenience.,Street Furniture
714,Problem reported in Urban Planning area at Old Town causing inconvenience.,Urban Planning
715,Problem reported in Street Closures area at Downtown causing inconvenience.,Street Closures
716,Problem reported in Water Leak Detection area at West Park causing inconvenience.,Water Leak Detection
717,Problem reported in Public Playground Safety area at Park Avenue causing inconvenience.,Public Playground Safety
718,Problem reported in Public Parking Enforcement area at Downtown causing inconvenience.,Public Parking Enforcement
719,Problem reported in Electric Billing area at Old Town causing inconvenience.,Electric Billing
720,Problem reported in Stormwater Management area at North End causing inconvenience.,Stormwater Management
721,Problem reported in Rodent Control area at Sector 9 causing inconvenience.,Rodent Control
722,Problem reported in Air Pollution area at North End causing inconvenience.,Air Pollution
723,Problem reported in Recycling Services area at Old Town causing inconvenience.,Recycling Services
724,Problem reported in Pavement Markings area at Hill Valley causing inconvenience.,Pavement Markings
725,Problem reported in Traffic Enforcement area at Downtown causing inconvenience.,Traffic Enforcement
726,Problem reported in Traffic Signals area at MG Road causing inconvenience.,Traffic Signals
727,Problem reported in Swimming Pools Safety area at Park Avenue causing inconvenience.,Swimming Pools Safety
728,Problem reported in Public Events Noise area at Main Street causing inconvenience.,Public Events Noise
729,Problem reported in Construction Noise area at Riverbank causing inconvenience.,Construction Noise
730,Problem reported in Stormwater Management area at Downtown causing inconvenience.,Stormwater Management
731,Problem reported in Street Drainage area at Hill Valley causing inconvenience.,Street Drainage
732,Problem reported in Illegal Dumping area at Park Avenue causing inconvenience.,Illegal Dumping
733,Problem reported in Road Accidents area at Sector 9 causing inconvenience.,Road Accidents
734,Problem reported in Community Centers area at Downtown causing inconvenience.,Community Centers
735,Problem reported in Drainage area at Riverbank causing inconvenience.,Drainage
736,Problem reported in Water Quality area at Hill Valley causing inconvenience.,Water Quality
737,Problem reported in Public Parking Enforcement area at Riverbank causing inconvenience.,Public Parking Enforcement
738,Problem reported in Cemeteries area at MG Road causing inconvenience.,Cemeteries
739,Problem reported in Cemeteries area at Sector 9 causing inconvenience.,Cemeteries
740,Problem reported in Bike Lanes area at Park Avenue causing inconvenience.,Bike Lanes
741,Problem reported in Public Transport area at MG Road causing inconvenience.,Public Transport
742,Problem reported in Street Furniture Maintenance area at North End causing inconvenience.,Street Furniture Maintenance
743,Problem reported in Animal Control area at Sector 9 causing inconvenience.,Animal Control
744,Problem reported in Parks and Recreation area at MG Road causing inconvenience.,Parks and Recreation
745,Problem reported in Street Furniture Maintenance area at Main Street causing inconvenience.,Street Furniture Maintenance
746,Problem reported in Public Playground Safety area at Park Avenue causing inconvenience.,Public Playground Safety
747,Problem reported in Drainage area at Riverbank causing inconvenience.,Drainage
748,Problem reported in Bike Sharing Services area at Hill Valley causing inconvenience.,Bike Sharing Services
749,Problem reported in Bike Lanes area at Sector 9 causing inconvenience.,Bike Lanes
750,Problem reported in Sidewalk Repair area at Main Street causing inconvenience.,Sidewalk Repair
751,Problem reported in Rodent Control area at Riverbank causing inconvenience.,Rodent Control
752,Problem reported in Bridge Maintenance area at North End causing inconvenience.,Bridge Maintenance
753,Problem reported in Permit Issuance area at Old Town causing inconvenience.,Permit Issuance
